Rozdzial;Budynki
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
merlon;ząb blanki;;[sound:quizlet-16914797876-front.mp3];[sound:quizlet-16914797876-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076558_200114_1645_13.jpg'>
mezzanine floor;półpiętro;Synonimy: landing, mezzanine;[sound:quizlet-16914797880-front.mp3];[sound:quizlet-16914797880-back.mp3];"<img src=""quizlet-4QVqIQ3Kou5VADpS02BnSw.jpg"">"
mihrab dome;kopuła mihrabu;;[sound:quizlet-16914797881-front.mp3];[sound:quizlet-16914797881-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076561_191229_1726_02.jpg'>
minaret;minaret;;[sound:quizlet-16914797882-front.mp3];[sound:quizlet-16914797882-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076562_191229_1731_15.jpg'>
minbar;minbar;;[sound:quizlet-16914797883-front.mp3];[sound:quizlet-16914797883-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076563_191229_1731_56.jpg'>
moat;fosa;;[sound:quizlet-16914797884-front.mp3];[sound:quizlet-16914797884-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376581_200114_1630_42.jpg'>
mosque;meczet;;[sound:quizlet-16914797893-front.mp3];[sound:quizlet-16914797893-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076566_191229_1724_02.jpg'>
mud hut;lepianka;;[sound:quizlet-16914797758-front.mp3];[sound:quizlet-16914797758-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077282_191228_1542_42.jpg'>
museum;muzeum;;[sound:quizlet-16914797898-front.mp3];[sound:quizlet-16914797898-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076569_200115_1348_12.jpg'>
naos;naos;;[sound:quizlet-16914797900-front.mp3];[sound:quizlet-16914797900-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076531_191228_1605_28.jpg'>
nave;nawa;;[sound:quizlet-16914797901-front.mp3];[sound:quizlet-16914797901-back.mp3];"<img src=""quizlet-2t09u85Rbpz0g-x1yV0Auw.jpg"">"
office building;biurowiec;Synonimy: office tower;[sound:quizlet-16914797914-front.mp3];[sound:quizlet-16914797914-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076508_200219_2053_06.jpg'><img src='architektura-i-budownictwo-po-angielsku_2243187c_236076508_200115_1347_25.jpg'>
opisthodomos;opistodom;Synonimy: adyton;[sound:quizlet-16914797917-front.mp3];[sound:quizlet-16914797917-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076511_191229_1714_24.jpg'>
orangery;oranżeria;;[sound:quizlet-16914797918-front.mp3];[sound:quizlet-16914797918-back.mp3];"<img src=""quizlet-YoEID.Io8yhB7pXuGwRy1A.png"">"
parade ground;plac ćwiczeń;;[sound:quizlet-16914797928-front.mp3];[sound:quizlet-16914797928-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076474_200114_1620_59.jpg'>
peristyle;perystyl;;[sound:quizlet-16914797942-front.mp3];[sound:quizlet-16914797942-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076481_191229_1711_36.jpg'>
pile dwelling;dom na palach;;[sound:quizlet-16914798064-front.mp3];[sound:quizlet-16914798064-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076483_191228_1544_21.jpg'>
pinnacle;dzwonnica;Synonimy: belfry;[sound:quizlet-16914807877-front.mp3];[sound:quizlet-16914807877-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076484_191229_1744_52.jpg'>
planetarium;planetarium;;[sound:quizlet-16914807881-front.mp3];[sound:quizlet-16914807881-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076486_200115_1351_07.jpg'>
porch;ganek;Synonimy: parapet walk;[sound:quizlet-16914807897-front.mp3];[sound:quizlet-16914807897-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376716_200114_1644_00.jpg'>
;przedsionek;;[sound:quizlet-16914807898-front.mp3];[sound:quizlet-16914807898-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076489_191229_1724_30.jpg'>
porch dome;kopuła przedsionka;;[sound:quizlet-16914807899-front.mp3];[sound:quizlet-16914807899-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076490_191229_1725_11.jpg'>
postern;poterna;;[sound:quizlet-16914807900-front.mp3];[sound:quizlet-16914807900-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076491_200114_1629_06.jpg'>
prayer hall;sala modlitwy;;[sound:quizlet-16914807901-front.mp3];[sound:quizlet-16914807901-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076492_191229_1724_56.jpg'>
pronaos;pronaos;;[sound:quizlet-16914807904-front.mp3];[sound:quizlet-16914807904-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076493_191229_1713_50.jpg'>
