Rozdzial;Elementy konstrukcyjne
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
chimney;komin;;[sound:quizlet-16914779126-front.mp3];[sound:quizlet-16914779126-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214375700_200115_1307_07.jpg'>
chimney pot;nakładka kominowa;;[sound:quizlet-16914779127-front.mp3];[sound:quizlet-16914779127-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074977_200115_1306_43.jpg'>
clamshell;muszla;Synonimy: shell;[sound:quizlet-16914779138-front.mp3];[sound:quizlet-16914779138-back.mp3];"<img src=""quizlet-odReLyhYEgdG7gKae32N4Q.jpg"">"
cleat;klin;Synonimy: wedge, gusset, chock;[sound:quizlet-16914779139-front.mp3];[sound:quizlet-16914779139-back.mp3];"<img src=""quizlet-YB.DbcqcT2LCv5SuBwsvcw.jpg"">"
column;kolumna;;[sound:quizlet-16914779149-front.mp3];[sound:quizlet-16914779149-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074981_191229_1711_16.jpg'>
compartment;przedział;Synonimy: interval, section;[sound:quizlet-16914779154-front.mp3];[sound:quizlet-16914779154-back.mp3];"<img src=""quizlet-Z5KDEE3shkTwqbYsysqa4g.jpg"">"
compluvium;compluwium;;[sound:quizlet-16914779159-front.mp3];[sound:quizlet-16914779159-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074985_191229_1715_54.jpg'>
compression;kompresja;;[sound:quizlet-16914779161-front.mp3];[sound:quizlet-16914779161-back.mp3];"<img src=""quizlet-xNoBITbnJCVHWLzI3i1-vQ.png"">"
compression index;wskaźnik kompresji;;[sound:quizlet-16914779162-front.mp3];[sound:quizlet-16914779162-back.mp3];"<img src=""quizlet-TE2ovH4TACqw3LIdW7dnWg.png"">"
compressive strength;wytrzymałość na ściskanie;;[sound:quizlet-16914779163-front.mp3];[sound:quizlet-16914779163-back.mp3];"<img src=""quizlet-Ha1vYQzxjsk8k8phJqhS6w.jpg"">"
conical broach roof;dach stożkowy;;[sound:quizlet-16914779170-front.mp3];[sound:quizlet-16914779170-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074988_200115_1358_22.jpg'>
connector;złącze;;[sound:quizlet-16914779171-front.mp3];[sound:quizlet-16914779171-back.mp3];"<img src=""quizlet-GoYNDazbaF1DFDyJ3oZFFw.jpg"">"
construction load;obciążenie konstrukcyjne;;[sound:quizlet-16914779174-front.mp3];[sound:quizlet-16914779174-back.mp3];"<img src=""quizlet-HSNxoxccMPVD.eaXUQlRjQ.jpg"">"
core;rdzeń;;[sound:quizlet-16914779189-front.mp3];[sound:quizlet-16914779189-back.mp3];"<img src=""quizlet--o4Hl0ILKSEFVIbn7GBXkA.png"">"
corner stud;słup narożny;;[sound:quizlet-16914779191-front.mp3];[sound:quizlet-16914779191-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074995_200115_1253_31.jpg'>
cornice;gzyms;;[sound:quizlet-16914779193-front.mp3];[sound:quizlet-16914779193-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214375753_191228_1554_08.jpg'>
cover;pokrywa;Synonimy: lid;[sound:quizlet-16914786259-front.mp3];[sound:quizlet-16914786259-back.mp3];"<img src=""quizlet-fZ6Lbu_iQtxu2x4zS0y6MA.jpg"">"
crepidoma;krepidoma;;[sound:quizlet-16914786264-front.mp3];[sound:quizlet-16914786264-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075004_191228_1552_34.jpg'>
culvert;przepust;;[sound:quizlet-16914786271-front.mp3];[sound:quizlet-16914786271-back.mp3];"<img src=""quizlet-iEwcFXVbZrXF5Zg04PXraw.jpg"">"
curtain wall;mur kurtynowy;;[sound:quizlet-16914786274-front.mp3];[sound:quizlet-16914786274-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075007_200114_1633_28.jpg'>
curvature;krzywizna;Synonimy: curve;[sound:quizlet-16914786275-front.mp3];[sound:quizlet-16914786275-back.mp3];"<img src=""quizlet-LXITNcS5tAl7UIdulj..uA.jpg"">"
damping;tłumienie;;[sound:quizlet-16914786279-front.mp3];[sound:quizlet-16914786279-back.mp3];"<img src=""quizlet-1tGSNDIx1lRqY3RnA.dtMg.jpg"">"
deck;pokład;;[sound:quizlet-16914786286-front.mp3];[sound:quizlet-16914786286-back.mp3];"<img src=""quizlet-BdCxcaVn5OGhXnCHutFXHg.jpg"">"
deflection;ugięcie;Synonimy: deflexion;[sound:quizlet-16914786288-front.mp3];[sound:quizlet-16914786288-back.mp3];"<img src=""quizlet-Mwj-60DHXX.BlfXU7faqRg.jpg"">"
delivery ramp;rampa załadowcza;;[sound:quizlet-16914786294-front.mp3];[sound:quizlet-16914786294-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075043_200115_1350_24.jpg'>
detached;oderwany;;[sound:quizlet-16914786301-front.mp3];[sound:quizlet-16914786301-back.mp3];"<img src=""quizlet-U4NAYKDZ21MO02BzvKKAQg.jpg"">"
diagonal;przekątna;;[sound:quizlet-16914786305-front.mp3];[sound:quizlet-16914786305-back.mp3];"<img src=""quizlet-neU3k1oMS4m-3adtlI7ljQ.png"">"
diagonal buttress;żebra przekątnikowe;;[sound:quizlet-16914786306-front.mp3];[sound:quizlet-16914786306-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075047_200114_1616_15.jpg'>
diaphragm;membrana;Synonimy: membrane;[sound:quizlet-16914786308-front.mp3];[sound:quizlet-16914786308-back.mp3];"<img src=""diaphragm.jpg"">"
