Rozdzial;Wykończenia i detale
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
panoramic window;okno panoramiczne;;[sound:quizlet-16914797927-front.mp3];[sound:quizlet-16914797927-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076473_200115_1339_12.jpg'>
patio door;drzwi na taras;;[sound:quizlet-16914797934-front.mp3];[sound:quizlet-16914797934-back.mp3];"<img src=""quizlet-kmIlMOUTnRV26tpSykUM1A.jpg"">"
plaster bead;tynk gipsowy;;[sound:quizlet-16914807884-front.mp3];[sound:quizlet-16914807884-back.mp3];"<img src=""quizlet-E5dRU2Xi1sbSHnBQl.QwIw.jpg"">"
plasterwork;tynk;Synonimy: roughcast, plaster, parget;[sound:quizlet-16914807888-front.mp3];[sound:quizlet-16914807888-back.mp3];"<img src=""quizlet-0yglv4DtOKY6CmTnxVk16A.jpg"">"
railing;balustrada;Synonimy: balustrade, banister;[sound:quizlet-16914807914-front.mp3];[sound:quizlet-16914807914-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376821_200115_1315_20.jpg'>
roof tile;dachówka;Synonimy: tile;[sound:quizlet-16914807938-front.mp3];[sound:quizlet-16914807938-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376837_191228_1604_49.jpg'>
rose window;okno rozetowe;;[sound:quizlet-16914807942-front.mp3];[sound:quizlet-16914807942-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076413_191229_1743_13.jpg'>
sash frame;część pionowa ościeżnicy;;[sound:quizlet-16914807952-front.mp3];[sound:quizlet-16914807952-back.mp3];"<img src=""quizlet-kdrwv8Sz7vLdTYUfsblY3w.png"">"
sash window;okno przesuwne pionowo;;[sound:quizlet-16914807953-front.mp3];[sound:quizlet-16914807953-back.mp3];"<img src=""quizlet-4w6Uk7vvcrPgvZanEz7FTA.jpg"">"
shutter;okiennica;;[sound:quizlet-16914807981-front.mp3];[sound:quizlet-16914807981-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076301_200115_1140_59.jpg'>
shutting stile;ramiak pionowy;;[sound:quizlet-16914807982-front.mp3];[sound:quizlet-16914807982-back.mp3];"<img src=""quizlet-DP8oUuDO7zOR8-yDL8qrXw.jpg"">"
