absorption tube;rura absorpcyjna
absorption;pochłanianie
accelerator;akcelerator
absorption coefficient;współczynnik pochłaniania
absorptivity;absorpcyjność
electron acceptor;akceptor (cząsteczka, pojedynczy atom lub jon) 
accuracy;dokładność
activation;aktywacja
activity;aktywność
adsorbate;adsorbat
adsorbent;adsorbent
air pressure;ciśnienie powietrza
alum;ałun
amperometry;amperometria
analysis;analiza
analytical chemistry;chemia analityczna
angle;kąt
antacid;związek zobojętniający kwas
antienzyme;antyenzym
antichlor;antychlor
antifebrin;antyfebryn
antifreeze;środek przeciw zamarzaniu
antimatter;antymateria
antioxidant;antyutleniacz
antiseptic;antyseptyczny
aqua;woda
atmosphere;atmosfera
atmospheric pressure;ciśnienie atmosferyczne
balance;równowaga
binary compound;związek chemiczny składający się z dwóch elementów
binding energy;energia wiązania
biochemistry;biochemia
boiling;wrzący
bond;wiązanie
bond energy;energia wiązania chemicznego
bonding;wiązanie (czynność)
buffer;bufor
calorie;kaloria
capacity;pojemność
carbon black;czarny węgiel
chain;łańcuch
change;zmiana
chelate;chelat
chemical property;własność chemiczna
chemistry;chemia
circulation;obieg
clamp;klamra
coefficients;współczynniki
collision;zderzenie
colloid chemistry;chemia koloidów
combination;kombinacja
complex ion;jon kompleksowy
component;składnik
composite;złożony
composition;kompozycja
compound;kompleks, mieszanina
concentrated solution;stężony roztwór
concentration;stężenie
configuration;konfiguracja
constant;stała
covalent bond;wiązanie kowalencyjne
cover;przykrycie
cracking;pękanie
critical mass;masa krytyczna
critical point;punkt krytyczny
critical pressure;ciśnienie krytyczne
critical temperature;temperatura krytyczna
curve;krzywa
data;dane
definition;definicja
dehydration agent;czynnik odwadniający
deionized water;dejonizowana woda
detergent;detergent
deuterium;deuter
diluent;rozcieńczalnik
dipole;dipol
direct combination;bezpośrednia kombinacja
direct combustion reaction;bezpośrednia reakcja spalania
direct current;bezpośredni strumień
disproportionation;dysproporcjonowanie
distillation;destylat
double bond;wiązanie podwójne
element;element
elevation;poziom
empirical formula;wzór empiryczny
emulsion;emulsja
endpoint;punkt na jednym z końców odcinka
enthalpy;entalpia
enzyme;enzym
equation;równanie
equivalent;równoważny
equivalent masses;masy równoważne
experiment;doświadczenie
fiber;włókno
filler;wypełniacz
filtrate;filtrować
force;siła
formula;wzór
formula mass;masa cząsteczkowa
fossil;skamieniałość
free energy;wolna energia
free radical;wolny rodnik
freezing point;punkt zamarzania
frequency;częstotliwość
functional group;grupa funkcyjna
gas;gaz
halogen;halogen
hard water;twarda woda
heavy hydrogen;ciężki wodór
heterocyclic;heterocykliczny
homogenous mixture;mieszanina jednorodna
hydrogen bomb;bomba wodorowa
hydrogen bond;wiązanie wodorowe
hypothesis;hipoteza
impurity;zanieczyszczenia
ideal gas;gaz doskonały
increment;przyrost
inorganic;nieorganiczny
inorganic chemistry;chemia nieorganiczna
insecticide;środek owadobójczy
intermediate;pośredni
ion;jon
ionic bond;wiązanie jonowe
irreversible;nieodwracalny
isolation;izolacja
isomer;izomer
isomerization;izomeryzacja
isotope;izotop
kilogram;kilogram
kinetic energy;energia kinetyczna
kinetics;kinetyka
level;poziom
light metal;metal lekki
liquid crystal;ciekły kryształ
macromolecule;makrocząsteczka
matter;materia
metallic bond;wiązanie metaliczne
metallic conduction;kondukcja metaliczna
microanalysis;mikroanaliza
mixture;mieszanina
molar concentration;stężenie molowe
molecular formula;wzór cząsteczkowy
mole;mol
molecule;cząsteczka
monomer;monomer
neutral solution;roztwór neutralny
noble gas;gaz szlachetny
non-electrolyte;nieelektrolit
nonmetal;niemetal
nonpolar molecule;niespolaryzowana cząsteczka
normal solution;zwykły roztwór
nuclear energy;energia nuklearna
nuclear fission;rozszczepienie nuklearne
nuclear fuel;paliwo nuklearne
nuclear fusion;fuzja jądrowa
nuclear reaction;reakcja nuklearna
number;liczba
nylon;nylon
observed value;wartość zaobserwowana
oil;olej
optical;optyczny
optical rotation;obrót optyczny
orbit;orbita
orbital;orbitalny
order;kolejność
order of reaction;rząd reakcji chemicznej
organic;organiczny
organic chemistry;chemia organiczna
organic compound;związek organiczny
ozone;ozon
pair;para
percentage composition;skład procentowy
percentage error;błąd procentowy
perfect;idealny
period;okres
periodic;okresowy
periodic law;prawo okresowe
periodic table;tablica okresowa
petroleum;ropa naftowa
phase;faza
photochemistry;fotochemia
photon;foton
physical change;zmiana fizyczna
point;punkt
polar bond;wiązanie spolaryzowane
polar molecule;cząsteczka spolaryzowana
potential energy;energia potencjalna
precipitant;odczynnik strącający
precipitate;osadzać
atmospheric precipitation;opad atmosferyczny
product;produkt
proof;dowód
proton acceptor;przyjmujący proton
purity;czystość
qualitative analysis;analiza jakościowa
quality control;kontrola jakości
radiation;promieniowanie
radiocarbon;radiowęglowy
rare;rzadki
